Country,Year,Code,tb_due_to_hiv,tb_due_to_alcohol,tb_due_to_smoking,tb_due_to_diabetes,tb_due_to_malnourishment,0-4,May-15,16-24 years, 25-34 years, 35-44 years, 45-54 years, 55-64 years, over 65 years
French Polynesia,2022,PYF,,,,,5,10.179153,2.198672,11.100011,17.537321,6.5932617,30.330603,46.26952,48.605034
Chile,2022,CHL,300,390,450,160,180,4.1861587,2.2090316,13.505765,18.572378,20.125618,19.921082,23.701813,25.444475
Belgium,2022,BEL,34,130,94,19,47,2.3565176,2.40051,15.130256,14.754654,9.3591175,7.5483737,4.6934443,4.7834096
Bulgaria,2022,BGR,,140,180,37,65,3.6873157,2.6118526,10.429436,15.311452,21.646997,22.240122,22.03242,13.902991
Brunei,2022,BRN,1,12,20,11,29,12.764871,2.954428,42.878475,53.484215,40.55999,86.28534,94.43958,209.20502
North Macedonia,2022,MKD,1,25,,7,15,4.8597007,3.013189,11.008063,9.087192,12.057244,15.601922,12.87148,12.495074
Turkey,2022,TUR,110,1100,1600,700,610,5.139244,3.0583663,13.69231,12.719236,11.818716,15.064886,24.913704,32.565395
Portugal,2022,PRT,150,210,190,51,84,6.8158956,3.1233745,10.572992,23.210964,16.737759,18.445486,19.70654,16.583551
North America,2022,,7764,8981,4671,3775,18281,7.18054,3.6009173,14.60289,20.29319,18.42053,18.478233,16.960102,14.662502
Bahamas,2022,BHS,10,6,2,3,,4.3205876,3.6356366,11.922503,17.940706,15.377518,15.733716,13.13859,19.195436
Cape Verde,2022,CPV,19,22,7,7,51,8.052989,3.7875202,17.724377,26.314636,71.98756,56.248074,61.157764,27.323235
Europe,2022,,14236,30491,17834,4857,7608,5.707782,4.075506,12.874063,24.600021,34.798492,28.672102,20.379887,12.483697
Lebanon,2022,LBN,5,86,82,32,110,3.3364952,4.416311,12.6957855,22.900898,14.498213,9.036474,7.8832545,9.94314
Mexico,2022,MEX,2000,1700,2300,1800,4300,8.071226,4.4478216,22.8342,30.910933,33.538185,42.63165,50.042706,49.941837
Guyana,2022,GUY,100,86,39,31,47,2.5322547,4.5922117,40.033382,65.783005,125.65088,116.19479,101.36617,94.536575
Turkmenistan,2022,TKM,680,350,89,170,220,9.3217325,4.6023874,39.102215,57.692574,69.365364,89.860435,98.07345,87.602974
Lithuania,2022,LTU,25,160,110,30,43,2.2052824,4.905843,14.473378,21.756306,38.248398,58.447945,48.563393,24.6541
Serbia,2022,SRB,10,110,160,30,70,5.267255,4.994606,14.770885,14.968499,11.698955,16.307491,19.855833,17.513748
Slovakia,2022,SVK,1,17,11,2,12,5.4085298,5.0639153,2.48013,1.2717905,2.4250574,2.9942398,2.2947392,3.1311285
Burkina Faso,2022,BFA,770,370,510,280,2800,7.754351,5.235794,29.24763,71.36993,98.45231,110.90438,131.56227,161.89963
Honduras,2022,HND,110,400,,130,800,8.104705,5.237494,23.124344,32.113926,32.41532,48.922848,78.48048,125.68058
Armenia,2022,ARM,28,77,82,35,49,3.406981,5.339843,15.327157,22.426022,40.581722,37.145428,40.824657,26.258564
Belarus,2022,BLR,140,750,310,93,140,12.159399,5.4914165,12.402029,21.47618,38.394012,46.6456,40.627773,23.801823
Paraguay,2022,PRY,180,410,180,120,500,7.4923315,5.8745522,44.90652,74.64063,59.596596,60.082253,71.35888,79.640724
Iraq,2022,IRQ,17,81,830,700,2600,8.024235,5.87801,17.845156,25.738585,32.46447,39.127335,53.769646,97.02234
Dominican Republic,2022,DOM,580,620,230,220,620,9.825308,6.187602,29.596214,59.165577,68.63509,64.56222,66.97511,64.94834
Syria,2022,SYR,2,45,,220,,10.951043,6.2500353,14.964087,31.556917,22.876614,20.100742,25.17122,25.783974
Russia,2022,RUS,9000,21000,8400,2400,2900,7.457647,6.6256833,18.508465,45.81372,73.324936,64.294075,39.189713,22.308044
Ecuador,2022,ECU,410,1000,460,290,2100,14.779533,7.0142527,48.898373,65.236626,53.93573,54.052692,61.190613,66.70442
Guatemala,2022,GTM,150,530,240,190,1200,10.903665,7.1955,17.57038,30.961376,37.73903,48.92979,57.01508,65.03167
Mali,2022,MLI,1000,190,380,360,2000,10.241559,7.3162313,36.20817,81.96462,100.37653,123.859985,191.3794,226.76074
